peptide_id	TIGRFAM_id	definition	Evalues
Eucgr.D01580.1.p	TIGR00293	TIGR00293[TIGR00293: prefoldin, alpha subunit]	TIGR00293[6.2e-08]
Eucgr.D01608.1.p	TIGR03404	TIGR03404[bicupin_oxalic: bicupin, oxalate decarboxylase family]	TIGR03404[1.9e-05]
Eucgr.E00001.1.p	TIGR01179,TIGR03466	TIGR01179[galE: UDP-glucose 4-epimerase GalE]; TIGR03466[HpnA: hopanoid-associated sugar epimerase]	TIGR01179[1.9e-07]; TIGR03466[6.2e-06]
Eucgr.E00025.1.p	TIGR00231	TIGR00231[small_GTP: small GTP-binding protein domain]	TIGR00231[5.1e-33]
Eucgr.E00028.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[3.3e-57]
Eucgr.E00141.1.p	TIGR00189	TIGR00189[tesB: acyl-CoA thioesterase II]	TIGR00189[9.2e-91]
Eucgr.E00141.2.p	TIGR00189	TIGR00189[tesB: acyl-CoA thioesterase II]	TIGR00189[4.2e-91]
Eucgr.E00184.1.p	TIGR01484	TIGR01484[HAD-SF-IIB: HAD hydrolase, family IIB]	TIGR01484[4e-15]
Eucgr.E00241.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[6.4e-10]
Eucgr.E00246.1.p	TIGR01557	TIGR01557[myb_SHAQKYF: myb-like DNA-binding domain, SHAQKYF class]	TIGR01557[1.1e-23]
Eucgr.E00246.2.p	TIGR01557	TIGR01557[myb_SHAQKYF: myb-like DNA-binding domain, SHAQKYF class]	TIGR01557[1.1e-23]
Eucgr.E00254.1.p	TIGR01064	TIGR01064[pyruv_kin: pyruvate kinase]	TIGR01064[7.1e-12]
Eucgr.E00312.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[6.1e-91]
Eucgr.E00421.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[4.7e-50]
Eucgr.E00442.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[3.5e-11]
Eucgr.E00444.1.p	TIGR01771,TIGR01759,TIGR01772,TIGR01757,TIGR01758,TIGR01763,TIGR01756	TIGR01771[L-LDH-NAD: L-lactate dehydrogenase]; TIGR01759[MalateDH-SF1: malate dehydrogenase]; TIGR01772[MDH_euk_gproteo: malate dehydrogenase, NAD-dependent]; TIGR01757[Malate-DH_plant: malate dehydrogenase, NADP-dependent]; TIGR01758[MDH_euk_cyt: malate dehydrogenase, NAD-dependent]; TIGR01763[MalateDH_bact: malate dehydrogenase, NAD-dependent]; TIGR01756[LDH_protist: lactate dehydrogenase]	TIGR01771[1e-112]; TIGR01759[3.8e-16]; TIGR01772[1.1e-16]; TIGR01757[2e-05]; TIGR01758[1.1e-11]; TIGR01763[3.9e-62]; TIGR01756[4.5e-13]
Eucgr.E00454.1.p	TIGR02734,TIGR01372,TIGR03197,TIGR01318,TIGR00275,TIGR00292,TIGR02053,TIGR01316,TIGR01317,TIGR03467,TIGR04018,TIGR03315,TIGR03997,TIGR04046	TIGR02734[crtI_fam: phytoene desaturase]; TIGR01372[soxA: sarcosine oxidase, alpha subunit family]; TIGR03197[MnmC_Cterm: tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain]; TIGR01318[gltD_gamma_fam: glutamate synthase, small subunit]; TIGR00275[TIGR00275: flavoprotein, HI0933 family]; TIGR00292[TIGR00292: thiazole biosynthesis enzyme]; TIGR02053[MerA: mercury(II) reductase]; TIGR01316[gltA: glutamate synthase (NADPH), homotetrameric]; TIGR01317[GOGAT_sm_gam: glutamate synthase, NADH/NADPH, small subunit]; TIGR03467[HpnE: squalene-associated FAD-dependent desaturase]; TIGR04018[Bthiol_YpdA: putative bacillithiol system oxidoreductase, YpdA family]; TIGR03315[Se_ygfK: putative selenate reductase, YgfK subunit]; TIGR03997[mycofact_OYE_2: mycofactocin system FadH/OYE family oxidoreductase 2]; TIGR04046[MSMEG_0569_nitr: flavin-dependent oxidoreductase, MSMEG_0569 family]	TIGR02734[2.3e-06]; TIGR01372[2.1e-05]; TIGR03197[4.1e-05]; TIGR01318[5.9e-06]; TIGR00275[4.6e-06]; TIGR00292[7.4e-06]; TIGR02053[1.9e-07]; TIGR01316[4.4e-08]; TIGR01317[1.7e-08]; TIGR03467[2.1e-06]; TIGR04018[3.1e-16]; TIGR03315[3.1e-05]; TIGR03997[8e-08]; TIGR04046[1.5e-14]
Eucgr.E00462.1.p	TIGR03465	TIGR03465[HpnD: squalene synthase HpnD]	TIGR03465[1.4e-18]
Eucgr.E00496.1.p	TIGR00841	TIGR00841[bass: bile acid transporter]	TIGR00841[5.7e-51]
Eucgr.E00507.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.8e-06]
Eucgr.E00540.1.p	TIGR04239,TIGR03902	TIGR04239[rhombo_GlpG: rhomboid family protease GlpG]; TIGR03902[rhom_GG_sort: rhombosortase]	TIGR04239[1.8e-09]; TIGR03902[1.5e-11]
Eucgr.E00540.2.p	TIGR04239,TIGR03902	TIGR04239[rhombo_GlpG: rhomboid family protease GlpG]; TIGR03902[rhom_GG_sort: rhombosortase]	TIGR04239[8.8e-10]; TIGR03902[7.6e-12]
Eucgr.E00581.1.p	TIGR03903,TIGR01733,TIGR03205,TIGR03098,TIGR01923,TIGR02275,TIGR01734,TIGR02188,TIGR02262,TIGR01217,TIGR03208	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR01733[AA-adenyl-dom: amino acid adenylation domain]; TIGR03205[pimA: dicarboxylate--CoA ligase PimA]; TIGR03098[ligase_PEP_1: acyl-CoA ligase (AMP-forming), exosortase A-associated]; TIGR01923[menE: O-succinylbenzoate-CoA ligase]; TIGR02275[DHB_AMP_lig: (2,3-dihydroxybenzoyl)adenylate synthase]; TIGR01734[D-ala-DACP-lig: D-alanine--poly(phosphoribitol) ligase, subunit 1]; TIGR02188[Ac_CoA_lig_AcsA: acetate--CoA ligase]; TIGR02262[benz_CoA_lig: benzoate-CoA ligase family]; TIGR01217[ac_ac_CoA_syn: acetoacetate-CoA ligase]; TIGR03208[cyc_hxne_CoA_lg: cyclohexanecarboxylate-CoA ligase]	TIGR03903[3.4e-20]; TIGR01733[3.7e-38]; TIGR03205[2.5e-24]; TIGR03098[5.6e-30]; TIGR01923[7.9e-25]; TIGR02275[1.9e-23]; TIGR01734[2e-14]; TIGR02188[3.5e-09]; TIGR02262[1.6e-26]; TIGR01217[3.8e-05]; TIGR03208[2.7e-20]
Eucgr.E00652.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[1.7e-14]; TIGR03724[7.4e-08]
Eucgr.E00652.2.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[1.4e-14]; TIGR03724[4.6e-08]
Eucgr.E00684.1.p	TIGR02928	TIGR02928[TIGR02928: orc1/cdc6 family replication initiation protein]	TIGR02928[7.4e-08]
Eucgr.E01025.1.p	TIGR00552	TIGR00552[nadE: NAD+ synthetase]	TIGR00552[1.6e-23]
Eucgr.E01044.1.p	TIGR00165	TIGR00165[S18: ribosomal protein S18]	TIGR00165[2.8e-11]
Eucgr.E01063.1.p	TIGR03451,TIGR03989,TIGR00692,TIGR02819,TIGR02822,TIGR03366,TIGR03201,TIGR02823,TIGR02824,TIGR02818,TIGR01751	TIGR03451[mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase]; TIGR03989[Rxyl_3153: NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family]; TIGR00692[tdh: L-threonine 3-dehydrogenase]; TIGR02819[fdhA_non_GSH: formaldehyde dehydrogenase, glutathione-independent]; TIGR02822[adh_fam_2: zinc-binding alcohol dehydrogenase family protein]; TIGR03366[HpnZ_proposed: putative phosphonate catabolism associated alcohol dehydrogenase]; TIGR03201[dearomat_had: 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase]; TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR02824[quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family]; TIGR02818[adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase]; TIGR01751[crot-CoA-red: crotonyl-CoA reductase]	TIGR03451[8e-60]; TIGR03989[3.5e-69]; TIGR00692[3.5e-32]; TIGR02819[1.4e-26]; TIGR02822[2.1e-10]; TIGR03366[1.8e-29]; TIGR03201[1e-23]; TIGR02823[6.5e-06]; TIGR02824[4.7e-18]; TIGR02818[1.5e-108]; TIGR01751[2.5e-08]
Eucgr.E01068.1.p	TIGR03449,TIGR02095,TIGR02149,TIGR04157,TIGR03999	TIGR03449[mycothiol_MshA: D-inositol-3-phosphate glycosyltransferase]; TIGR02095[glgA: glycogen/starch synthase, ADP-glucose type]; TIGR02149[glgA_Coryne: glycogen synthase, Corynebacterium family]; TIGR04157[glyco_rSAM_CFB: glycosyltransferase, GG-Bacteroidales peptide system]; TIGR03999[thiol_BshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA]	TIGR03449[5e-10]; TIGR02095[8.3e-154]; TIGR02149[9e-15]; TIGR04157[7e-07]; TIGR03999[1.6e-08]
Eucgr.E01068.2.p	TIGR03449,TIGR02095,TIGR02149,TIGR04157,TIGR03999	TIGR03449[mycothiol_MshA: D-inositol-3-phosphate glycosyltransferase]; TIGR02095[glgA: glycogen/starch synthase, ADP-glucose type]; TIGR02149[glgA_Coryne: glycogen synthase, Corynebacterium family]; TIGR04157[glyco_rSAM_CFB: glycosyltransferase, GG-Bacteroidales peptide system]; TIGR03999[thiol_BshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA]	TIGR03449[5e-10]; TIGR02095[8.3e-154]; TIGR02149[9e-15]; TIGR04157[7e-07]; TIGR03999[1.6e-08]
Eucgr.E01068.3.p	TIGR03449,TIGR02095,TIGR02149,TIGR04157,TIGR03999	TIGR03449[mycothiol_MshA: D-inositol-3-phosphate glycosyltransferase]; TIGR02095[glgA: glycogen/starch synthase, ADP-glucose type]; TIGR02149[glgA_Coryne: glycogen synthase, Corynebacterium family]; TIGR04157[glyco_rSAM_CFB: glycosyltransferase, GG-Bacteroidales peptide system]; TIGR03999[thiol_BshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA]	TIGR03449[5e-10]; TIGR02095[8.3e-154]; TIGR02149[9e-15]; TIGR04157[7e-07]; TIGR03999[1.6e-08]
Eucgr.E01068.4.p	TIGR03449,TIGR02095,TIGR02149,TIGR04157,TIGR03999	TIGR03449[mycothiol_MshA: D-inositol-3-phosphate glycosyltransferase]; TIGR02095[glgA: glycogen/starch synthase, ADP-glucose type]; TIGR02149[glgA_Coryne: glycogen synthase, Corynebacterium family]; TIGR04157[glyco_rSAM_CFB: glycosyltransferase, GG-Bacteroidales peptide system]; TIGR03999[thiol_BshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA]	TIGR03449[5e-10]; TIGR02095[8.3e-154]; TIGR02149[9e-15]; TIGR04157[7e-07]; TIGR03999[1.6e-08]
Eucgr.E01092.1.p	TIGR02716	TIGR02716[C20_methyl_CrtF: C-20 methyltransferase BchU]	TIGR02716[1.7e-11]
Eucgr.E01092.2.p	TIGR02716	TIGR02716[C20_methyl_CrtF: C-20 methyltransferase BchU]	TIGR02716[9.1e-12]
